,Time,Component,percent
0,0.0,CD4+ TC,0.21365835
1,0.008008008,CD4+ TC,0.21365419
2,0.016016016,CD4+ TC,0.21364784
3,0.024024025,CD4+ TC,0.21363936
4,0.03203203,CD4+ TC,0.2136287
5,0.04004004,CD4+ TC,0.21361585
6,0.04804805,CD4+ TC,0.21360086
7,0.056056056,CD4+ TC,0.21358368
8,0.06406406,CD4+ TC,0.21356429
9,0.072072074,CD4+ TC,0.21354277
10,0.08008008,CD4+ TC,0.21351908
11,0.08808809,CD4+ TC,0.21349326
12,0.0960961,CD4+ TC,0.21346521
13,0.1041041,CD4+ TC,0.21343508
14,0.11211211,CD4+ TC,0.2134028
15,0.12012012,CD4+ TC,0.21336831
16,0.12812813,CD4+ TC,0.21333176
17,0.13613613,CD4+ TC,0.21329302
18,0.14414415,CD4+ TC,0.21325217
19,0.15215215,CD4+ TC,0.21320921
20,0.16016015,CD4+ TC,0.21316412
21,0.16816816,CD4+ TC,0.21311694
22,0.17617618,CD4+ TC,0.21306762
23,0.18418418,CD4+ TC,0.21301623
24,0.1921922,CD4+ TC,0.21296279
25,0.2002002,CD4+ TC,0.21290721
26,0.20820822,CD4+ TC,0.21284959
27,0.21621622,CD4+ TC,0.21278994
28,0.22422422,CD4+ TC,0.21272825
29,0.23223224,CD4+ TC,0.21266444
30,0.24024025,CD4+ TC,0.21259868
31,0.24824825,CD4+ TC,0.21253084
32,0.25625625,CD4+ TC,0.21246104
33,0.26426426,CD4+ TC,0.21238923
34,0.27227226,CD4+ TC,0.21231548
35,0.2802803,CD4+ TC,0.2122397
36,0.2882883,CD4+ TC,0.212162
37,0.2962963,CD4+ TC,0.21208233
38,0.3043043,CD4+ TC,0.21200071
39,0.3123123,CD4+ TC,0.21191724
40,0.3203203,CD4+ TC,0.2118318
41,0.3283283,CD4+ TC,0.21174449
42,0.3363363,CD4+ TC,0.21165527
43,0.34434432,CD4+ TC,0.21156426
44,0.35235235,CD4+ TC,0.21147138
45,0.36036035,CD4+ TC,0.21137667
46,0.36836836,CD4+ TC,0.21128011
47,0.37637636,CD4+ TC,0.21118176
48,0.3843844,CD4+ TC,0.21108167
49,0.3923924,CD4+ TC,0.21097979
50,0.4004004,CD4+ TC,0.21087614
51,0.4084084,CD4+ TC,0.21077074
52,0.41641644,CD4+ TC,0.21066366
53,0.42442444,CD4+ TC,0.21055491
54,0.43243244,CD4+ TC,0.21044442
55,0.44044045,CD4+ TC,0.21033232
56,0.44844845,CD4+ TC,0.21021855
57,0.45645645,CD4+ TC,0.21010315
58,0.46446446,CD4+ TC,0.20998615
59,0.4724725,CD4+ TC,0.20986758
60,0.4804805,CD4+ TC,0.20974743
61,0.4884885,CD4+ TC,0.20962572
62,0.4964965,CD4+ TC,0.20950247
63,0.5045045,CD4+ TC,0.20937774
64,0.5125125,CD4+ TC,0.20925152
65,0.5205205,CD4+ TC,0.20912382
66,0.5285285,CD4+ TC,0.20899469
67,0.5365365,CD4+ TC,0.20886408
68,0.5445445,CD4+ TC,0.2087321
69,0.5525525,CD4+ TC,0.20859873
70,0.5605606,CD4+ TC,0.20846403
71,0.5685686,CD4+ TC,0.20832792
72,0.5765766,CD4+ TC,0.20819052
73,0.5845846,CD4+ TC,0.2080518
74,0.5925926,CD4+ TC,0.20791183
75,0.6006006,CD4+ TC,0.2077706
76,0.6086086,CD4+ TC,0.20762813
77,0.6166166,CD4+ TC,0.20748444
78,0.6246246,CD4+ TC,0.20733957
79,0.6326327,CD4+ TC,0.20719352
80,0.6406406,CD4+ TC,0.20704633
81,0.6486486,CD4+ TC,0.20689802
82,0.6566566,CD4+ TC,0.2067486
83,0.6646646,CD4+ TC,0.20659813
84,0.6726726,CD4+ TC,0.20644657
85,0.68068063,CD4+ TC,0.206294
86,0.68868864,CD4+ TC,0.20614038
87,0.6966967,CD4+ TC,0.20598586
88,0.7047047,CD4+ TC,0.20583029
89,0.7127127,CD4+ TC,0.20567383
90,0.7207207,CD4+ TC,0.20551641
91,0.7287287,CD4+ TC,0.2053581
92,0.7367367,CD4+ TC,0.20519899
93,0.7447447,CD4+ TC,0.20503895
94,0.7527528,CD4+ TC,0.20487814
95,0.7607608,CD4+ TC,0.20471649
96,0.7687688,CD4+ TC,0.2045541
97,0.7767768,CD4+ TC,0.20439094
98,0.7847848,CD4+ TC,0.20422702
99,0.7927928,CD4+ TC,0.20406243
100,0.8008008,CD4+ TC,0.20389713
101,0.8088088,CD4+ TC,0.2037312
102,0.8168168,CD4+ TC,0.20356463
103,0.82482487,CD4+ TC,0.20339742
104,0.8328328,CD4+ TC,0.20322967
105,0.8408408,CD4+ TC,0.20306128
106,0.8488488,CD4+ TC,0.20289238
107,0.8568568,CD4+ TC,0.20272297
108,0.8648648,CD4+ TC,0.20255305
109,0.8728728,CD4+ TC,0.20238267
110,0.88088083,CD4+ TC,0.20221181
111,0.8888889,CD4+ TC,0.20204052
112,0.8968969,CD4+ TC,0.2018688
113,0.9049049,CD4+ TC,0.20169675
114,0.9129129,CD4+ TC,0.20152433
115,0.9209209,CD4+ TC,0.20135158
116,0.9289289,CD4+ TC,0.20117854
117,0.9369369,CD4+ TC,0.20100512
118,0.944945,CD4+ TC,0.20083149
119,0.952953,CD4+ TC,0.20065756
120,0.9609609,CD4+ TC,0.20048346
121,0.9689689,CD4+ TC,0.20030913
122,0.97697693,CD4+ TC,0.20013463
123,0.98498493,CD4+ TC,0.19995993
124,0.99299294,CD4+ TC,0.19978514
125,1.001001,CD4+ TC,0.19961023
126,1.009009,CD4+ TC,0.1994352
127,1.017017,CD4+ TC,0.1992601
128,1.025025,CD4+ TC,0.19908494
129,1.033033,CD4+ TC,0.19890976
130,1.041041,CD4+ TC,0.19873461
131,1.049049,CD4+ TC,0.19855942
132,1.057057,CD4+ TC,0.19838426
133,1.065065,CD4+ TC,0.19820918
134,1.073073,CD4+ TC,0.19803412
135,1.081081,CD4+ TC,0.19785917
136,1.089089,CD4+ TC,0.19768436
137,1.097097,CD4+ TC,0.19750968
138,1.105105,CD4+ TC,0.19733514
139,1.113113,CD4+ TC,0.19716077
140,1.121121,CD4+ TC,0.19698659
141,1.129129,CD4+ TC,0.19681263
142,1.137137,CD4+ TC,0.19663888
143,1.145145,CD4+ TC,0.19646542
144,1.1531532,CD4+ TC,0.19629219
145,1.1611612,CD4+ TC,0.19611925
146,1.1691692,CD4+ TC,0.19594665
147,1.1771772,CD4+ TC,0.19577435
148,1.1851852,CD4+ TC,0.1956024
149,1.1931932,CD4+ TC,0.1954308
150,1.2012012,CD4+ TC,0.19525959
151,1.2092092,CD4+ TC,0.1950888
152,1.2172172,CD4+ TC,0.19491836
153,1.2252252,CD4+ TC,0.1947484
154,1.2332332,CD4+ TC,0.19457889
155,1.2412412,CD4+ TC,0.19440983
156,1.2492492,CD4+ TC,0.19424124
157,1.2572572,CD4+ TC,0.19407317
158,1.2652652,CD4+ TC,0.19390562
159,1.2732732,CD4+ TC,0.1937386
160,1.2812812,CD4+ TC,0.19357213
161,1.2892892,CD4+ TC,0.19340622
162,1.2972972,CD4+ TC,0.1932409
163,1.3053052,CD4+ TC,0.19307615
164,1.3133132,CD4+ TC,0.19291201
165,1.3213212,CD4+ TC,0.19274855
166,1.3293293,CD4+ TC,0.1925857
167,1.3373373,CD4+ TC,0.19242351
168,1.3453454,CD4+ TC,0.192262
169,1.3533534,CD4+ TC,0.19210115
170,1.3613614,CD4+ TC,0.19194102
171,1.3693694,CD4+ TC,0.19178164
172,1.3773774,CD4+ TC,0.19162297
173,1.3853854,CD4+ TC,0.19146502
174,1.3933934,CD4+ TC,0.19130787
175,1.4014014,CD4+ TC,0.19115144
176,1.4094094,CD4+ TC,0.19099584
177,1.4174174,CD4+ TC,0.19084102
178,1.4254254,CD4+ TC,0.19068705
179,1.4334334,CD4+ TC,0.19053388
180,1.4414414,CD4+ TC,0.19038151
181,1.4494494,CD4+ TC,0.19023004
182,1.4574574,CD4+ TC,0.19007944
183,1.4654654,CD4+ TC,0.18992968
184,1.4734734,CD4+ TC,0.18978085
185,1.4814814,CD4+ TC,0.18963288
186,1.4894894,CD4+ TC,0.18948588
187,1.4974974,CD4+ TC,0.18933977
188,1.5055054,CD4+ TC,0.18919457
189,1.5135134,CD4+ TC,0.18905036
190,1.5215214,CD4+ TC,0.18890707
191,1.5295295,CD4+ TC,0.18876478
192,1.5375376,CD4+ TC,0.18862347
193,1.5455456,CD4+ TC,0.18848316
194,1.5535536,CD4+ TC,0.18834387
195,1.5615616,CD4+ TC,0.18820554
196,1.5695696,CD4+ TC,0.18806826
197,1.5775776,CD4+ TC,0.18793203
198,1.5855856,CD4+ TC,0.18779682
199,1.5935936,CD4+ TC,0.18766266
200,1.6016016,CD4+ TC,0.18752962
201,1.6096096,CD4+ TC,0.18739764
202,1.6176176,CD4+ TC,0.1872667
203,1.6256256,CD4+ TC,0.1871369
204,1.6336336,CD4+ TC,0.18700814
205,1.6416416,CD4+ TC,0.18688057
206,1.6496496,CD4+ TC,0.18675408
207,1.6576576,CD4+ TC,0.18662874
208,1.6656656,CD4+ TC,0.18650453
209,1.6736736,CD4+ TC,0.18638146
210,1.6816816,CD4+ TC,0.18625955
211,1.6896896,CD4+ TC,0.18613882
212,1.6976976,CD4+ TC,0.18601926
213,1.7057056,CD4+ TC,0.1859009
214,1.7137136,CD4+ TC,0.18578371
215,1.7217216,CD4+ TC,0.18566772
216,1.7297297,CD4+ TC,0.18555294
217,1.7377377,CD4+ TC,0.18543941
218,1.7457457,CD4+ TC,0.18532707
219,1.7537537,CD4+ TC,0.18521596
220,1.7617617,CD4+ TC,0.18510608
221,1.7697697,CD4+ TC,0.18499748
222,1.7777777,CD4+ TC,0.18489012
223,1.7857857,CD4+ TC,0.184784
224,1.7937938,CD4+ TC,0.18467917
225,1.8018018,CD4+ TC,0.1845756
226,1.8098098,CD4+ TC,0.18447334
227,1.8178178,CD4+ TC,0.18437235
228,1.8258258,CD4+ TC,0.18427265
229,1.8338338,CD4+ TC,0.18417425
230,1.8418418,CD4+ TC,0.18407719
231,1.8498498,CD4+ TC,0.18398143
232,1.8578578,CD4+ TC,0.183887
233,1.8658658,CD4+ TC,0.18379392
234,1.8738738,CD4+ TC,0.18370213
235,1.8818818,CD4+ TC,0.18361174
236,1.8898898,CD4+ TC,0.18352261
237,1.8978978,CD4+ TC,0.18343486
238,1.9059058,CD4+ TC,0.18334852
239,1.9139138,CD4+ TC,0.18326353
240,1.9219218,CD4+ TC,0.1831799
241,1.9299299,CD4+ TC,0.18309766
242,1.9379379,CD4+ TC,0.18301679
243,1.9459459,CD4+ TC,0.18293726
244,1.9539539,CD4+ TC,0.18285918
245,1.9619619,CD4+ TC,0.1827825
246,1.9699699,CD4+ TC,0.18270724
247,1.9779779,CD4+ TC,0.18263336
248,1.985986,CD4+ TC,0.18256089
249,1.993994,CD4+ TC,0.18248983
250,2.002002,CD4+ TC,0.18242024
251,2.01001,CD4+ TC,0.18235202
252,2.018018,CD4+ TC,0.18228528
253,2.026026,CD4+ TC,0.18221995
254,2.034034,CD4+ TC,0.18215609
255,2.042042,CD4+ TC,0.18209367
256,2.05005,CD4+ TC,0.18203266
257,2.058058,CD4+ TC,0.18197314
258,2.066066,CD4+ TC,0.18191512
259,2.074074,CD4+ TC,0.1818585
260,2.082082,CD4+ TC,0.18180339
261,2.09009,CD4+ TC,0.18174972
262,2.098098,CD4+ TC,0.18169753
263,2.106106,CD4+ TC,0.18164684
264,2.114114,CD4+ TC,0.18159759
265,2.122122,CD4+ TC,0.18154983
266,2.13013,CD4+ TC,0.1815036
267,2.138138,CD4+ TC,0.18145883
268,2.146146,CD4+ TC,0.18141559
269,2.154154,CD4+ TC,0.18137383
270,2.162162,CD4+ TC,0.18133354
271,2.17017,CD4+ TC,0.1812948
272,2.178178,CD4+ TC,0.18125753
273,2.186186,CD4+ TC,0.1812218
274,2.194194,CD4+ TC,0.18118757
275,2.202202,CD4+ TC,0.18115483
276,2.21021,CD4+ TC,0.18112364
277,2.218218,CD4+ TC,0.18109395
278,2.226226,CD4+ TC,0.18106575
279,2.234234,CD4+ TC,0.18103912
280,2.242242,CD4+ TC,0.181014
281,2.25025,CD4+ TC,0.18099041
282,2.258258,CD4+ TC,0.18096831
283,2.266266,CD4+ TC,0.1809478
284,2.274274,CD4+ TC,0.18092875
285,2.282282,CD4+ TC,0.18091124
286,2.29029,CD4+ TC,0.18089528
287,2.2982981,CD4+ TC,0.18088084
288,2.3063064,CD4+ TC,0.18086793
289,2.3143144,CD4+ TC,0.18085651
290,2.3223224,CD4+ TC,0.18084668
291,2.3303304,CD4+ TC,0.18083838
292,2.3383384,CD4+ TC,0.18083155
293,2.3463464,CD4+ TC,0.18082629
294,2.3543544,CD4+ TC,0.18082254
295,2.3623624,CD4+ TC,0.18082032
296,2.3703704,CD4+ TC,0.18081965
297,2.3783784,CD4+ TC,0.18082051
298,2.3863864,CD4+ TC,0.18082283
299,2.3943944,CD4+ TC,0.18082671
300,2.4024024,CD4+ TC,0.18083209
301,2.4104104,CD4+ TC,0.18083902
302,2.4184184,CD4+ TC,0.18084745
303,2.4264264,CD4+ TC,0.18085739
304,2.4344344,CD4+ TC,0.18086885
305,2.4424424,CD4+ TC,0.18088178
306,2.4504504,CD4+ TC,0.18089627
