,quantile,sample,celltype,values
0,0,A0001_S121_L002,CD4+ TC,0.036457643
1,0,A0001_S121_L002,CD8+ TC,0.061612733
2,0,A0001_S121_L002,Cycling,0.007013821
3,0,A0001_S121_L002,Mature BC,0.32697824
4,0,A0001_S121_L002,Mono,0.32725155
5,0,A0001_S121_L002,NK,0.02466278
6,0,A0001_S121_L002,Neutro,0.003154757
7,0,A0001_S121_L002,Plasma BC,0.058264032
8,0,A0001_S121_L002,Pre BC,0.07496626
9,0,A0015_S120_L002,CD4+ TC,0.03555545
10,0,A0015_S120_L002,CD8+ TC,0.069723696
11,0,A0015_S120_L002,Cycling,0.08376132
12,0,A0015_S120_L002,Mature BC,0.42999992
13,0,A0015_S120_L002,Mono,0.24255326
14,0,A0015_S120_L002,NK,0.032987967
15,0,A0015_S120_L002,Neutro,0.005716477
16,0,A0015_S120_L002,Plasma BC,0.011179197
17,0,A0015_S120_L002,Pre BC,0.004258411
18,0,A0029_S119_L002,CD4+ TC,0.05828768
19,0,A0029_S119_L002,CD8+ TC,0.047507677
20,0,A0029_S119_L002,Cycling,0.014776484
21,0,A0029_S119_L002,Mature BC,0.4857313
22,0,A0029_S119_L002,Mono,0.27260503
23,0,A0029_S119_L002,NK,0.022609882
24,0,A0029_S119_L002,Neutro,0.0028596416
25,0,A0029_S119_L002,Plasma BC,0.010170481
26,0,A0029_S119_L002,Pre BC,0.003812862
27,0,A0043_S118_L002,CD4+ TC,0.03602384
28,0,A0043_S118_L002,CD8+ TC,0.056527518
29,0,A0043_S118_L002,Cycling,0.014673667
30,0,A0043_S118_L002,Mature BC,0.27111816
31,0,A0043_S118_L002,Mono,0.37143397
32,0,A0043_S118_L002,NK,0.019969229
33,0,A0043_S118_L002,Neutro,0.0037066955
34,0,A0043_S118_L002,Plasma BC,0.046419036
35,0,A0043_S118_L002,Pre BC,0.09531371
36,0,A0057_S117_L002,CD4+ TC,0.04604778
37,0,A0057_S117_L002,CD8+ TC,0.10468415
38,0,A0057_S117_L002,Cycling,0.025236508
39,0,A0057_S117_L002,Mature BC,0.5221835
40,0,A0057_S117_L002,Mono,0.15234129
41,0,A0057_S117_L002,NK,0.030324874
42,0,A0057_S117_L002,Neutro,0.0037704976
43,0,A0057_S117_L002,Plasma BC,0.014617308
44,0,A0057_S117_L002,Pre BC,0.010722585
45,0,A0071_S116_L002,CD4+ TC,0.036154047
46,0,A0071_S116_L002,CD8+ TC,0.042087283
47,0,A0071_S116_L002,Cycling,0.026606673
48,0,A0071_S116_L002,Mature BC,0.6394995
49,0,A0071_S116_L002,Mono,0.073111266
50,0,A0071_S116_L002,NK,0.022775454
51,0,A0071_S116_L002,Neutro,0.0024982048
52,0,A0071_S116_L002,Plasma BC,0.023062132
53,0,A0071_S116_L002,Pre BC,0.052598525
54,0,A0085_S115_L002,CD4+ TC,0.06640901
55,0,A0085_S115_L002,CD8+ TC,0.07495808
56,0,A0085_S115_L002,Cycling,0.067739435
57,0,A0085_S115_L002,Mature BC,0.4810318
58,0,A0085_S115_L002,Mono,0.11450065
59,0,A0085_S115_L002,NK,0.029203508
60,0,A0085_S115_L002,Neutro,0.0031303787
61,0,A0085_S115_L002,Plasma BC,0.019890288
62,0,A0085_S115_L002,Pre BC,0.050633445
63,0,A0099_S114_L002,CD4+ TC,0.07048905
64,0,A0099_S114_L002,CD8+ TC,0.07259718
65,0,A0099_S114_L002,Cycling,0.05669552
66,0,A0099_S114_L002,Mature BC,0.60002965
67,0,A0099_S114_L002,Mono,0.068390116
68,0,A0099_S114_L002,NK,0.016233604
69,0,A0099_S114_L002,Neutro,0.00370592
70,0,A0099_S114_L002,Plasma BC,0.004885554
71,0,A0099_S114_L002,Pre BC,0.020254692
72,0,A0113_S113_L002,CD4+ TC,0.051420663
73,0,A0113_S113_L002,CD8+ TC,0.073082805
74,0,A0113_S113_L002,Cycling,0.0011236079
75,0,A0113_S113_L002,Mature BC,0.6578919
76,0,A0113_S113_L002,Mono,0.09643481
77,0,A0113_S113_L002,NK,0.018138807
78,0,A0113_S113_L002,Neutro,0.0017162835
79,0,A0113_S113_L002,Plasma BC,0.010367994
80,0,A0113_S113_L002,Pre BC,0.0069668037
81,0,A0127_S112_L002,CD4+ TC,0.058701728
82,0,A0127_S112_L002,CD8+ TC,0.09311944
